transaction UUID,Driver UUID,Driver first name,Driver surname,Trip UUID,Description,Organisation name,Org alias,vs reporting,Paid to you,Paid to you : Your earnings,Paid to you : Trip balance : Payouts : Cash collected,Paid to you : Your earnings : Fare,Paid to you : Your earnings : Taxes,Paid to you:Your earnings:Fare:Fare,Paid to you:Your earnings:Fare:Booking fee,Paid to you:Your earnings:Taxes:Income tax withholding,Paid to you:Your earnings:Fare:Cancellation,Paid to you:Your earnings:Other fees:Platform fee,Paid to you:Trip balance:Refunds:IGST Support services,Paid to you:Trip balance:Expenses:IGST Support services,Paid to you:Your earnings:Tip,Paid to you:Trip balance:Refunds:Toll,Paid to you:Your earnings:Fare:Surge,Paid to you:Your earnings:Fare:Wait Time at Pick-up,Paid to you:Your earnings:Fare:UberX Priority,Paid to you:Your earnings:Fare:Reservation Fee,Paid to you:Your earnings:Fare:Outskirt Surcharge,Paid to you:Trip balance:Expenses:Driver subscription charge
TXN_AD6E55E2,DRIVER_5D6AF75D,ANON,DRIVER,TRIP_C3E22177,trip completed order,Fleet_Operator_India,FOC,2025-04-18 04:23:34,15.33,217.76,-202.43,217.76,0,189.18,28.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_D5CCB124,DRIVER_5D6AF75D,ANON,DRIVER,TRIP_C3E22177,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 04:23:36,-0.21,-0.21,0.0,0.0,0,0.0,0.0,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_A711F7AD,DRIVER_UNKNOWN,ANON,DRIVER,TRIP_UNKNOWN,so.attribution,Fleet_Operator_India,FOC,2025-04-18 04:29:38,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_97F89864,DRIVER_19CDE5F6,ANON,DRIVER,TRIP_93620B33,trip completed order,Fleet_Operator_India,FOC,2025-04-18 04:38:31,352.32,352.32,0.0,352.32,0,277.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.11,0.0,0.0
TXN_D1B743AA,DRIVER_19CDE5F6,ANON,DRIVER,TRIP_93620B33,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 04:38:33,-0.35,-0.35,0.0,0.0,0,0.0,0.0,-0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_6CE80BAD,DRIVER_AEBD9AA5,ANON,DRIVER,TRIP_A8D26B9F,trip completed order,Fleet_Operator_India,FOC,2025-04-18 04:40:07,-8.81,163.32,-172.13,163.32,0,150.42,11.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.0,0.0,0.0
TXN_3674A499,DRIVER_AEBD9AA5,ANON,DRIVER,TRIP_A8D26B9F,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 04:40:09,-0.17,-0.17,0.0,0.0,0,0.0,0.0,-0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_3F3B2B9C,DRIVER_8AE7BC26,ANON,DRIVER,TRIP_3C7E5061,trip completed order,Fleet_Operator_India,FOC,2025-04-18 04:40:20,-9.04,180.87,-189.91,180.87,0,162.77,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_98D6495F,DRIVER_8AE7BC26,ANON,DRIVER,TRIP_3C7E5061,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 04:40:22,-0.19,-0.19,0.0,0.0,0,0.0,0.0,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_5B83BD66,DRIVER_5D6AF75D,ANON,DRIVER,TRIP_DC1ED097,trip completed order,Fleet_Operator_India,FOC,2025-04-18 04:44:48,64.76,64.76,0.0,64.76,0,0.0,0.0,0.0,64.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_2CD5C6E3,DRIVER_5D6AF75D,ANON,DRIVER,TRIP_DC1ED097,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 04:44:50,-0.06,-0.06,0.0,0.0,0,0.0,0.0,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_9EEC0A3B,DRIVER_19CDE5F6,ANON,DRIVER,TRIP_CD0D897E,trip completed order,Fleet_Operator_India,FOC,2025-04-18 05:04:52,-8.1,161.82,-169.92,161.82,0,161.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_E80F241B,DRIVER_19CDE5F6,ANON,DRIVER,TRIP_CD0D897E,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 05:04:54,-0.18,-0.18,0.0,0.0,0,0.0,0.0,-0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_F3F972A9,DRIVER_5D6AF75D,ANON,DRIVER,TRIP_7C87EAFF,trip completed order,Fleet_Operator_India,FOC,2025-04-18 05:09:22,60.2,60.2,0.0,60.2,0,0.0,0.0,0.0,60.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_C6769405,DRIVER_5D6AF75D,ANON,DRIVER,TRIP_7C87EAFF,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 05:09:24,-0.06,-0.06,0.0,0.0,0,0.0,0.0,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_45DC1F41,DRIVER_8AE7BC26,ANON,DRIVER,TRIP_90054660,trip completed order,Fleet_Operator_India,FOC,2025-04-18 05:22:09,-6.69,273.26,-279.95,273.26,0,244.68,28.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_F3FD6EB5,DRIVER_8AE7BC26,ANON,DRIVER,TRIP_90054660,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 05:22:11,-0.28,-0.28,0.0,0.0,0,0.0,0.0,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_F11D366D,DRIVER_C5F858AE,ANON,DRIVER,TRIP_43F258DD,trip completed order,Fleet_Operator_India,FOC,2025-04-18 05:23:12,-23.34,466.61,-489.95,466.61,0,406.61,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_10E4F065,DRIVER_C5F858AE,ANON,DRIVER,TRIP_43F258DD,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 05:23:14,-0.49,-0.49,0.0,0.0,0,0.0,0.0,-0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_95E4CAC1,DRIVER_AEBD9AA5,ANON,DRIVER,TRIP_3F497A4B,trip completed order,Fleet_Operator_India,FOC,2025-04-18 05:39:54,-25.24,449.72,-529.97,449.72,0,341.14,13.34,0.0,0.0,0.0,0.0,0.0,0.0,55.01,0.0,0.0,0.0,95.24,0.0,0.0
TXN_4C1C4C68,DRIVER_AEBD9AA5,ANON,DRIVER,TRIP_3F497A4B,trip fare adjust order,Fleet_Operator_India,FOC,2025-04-18 05:39:56,-0.5,-0.5,0.0,0.0,0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXN_A1CB3C5E,DRIVER_5D6AF75D,ANON,DRIVER,TRIP_81776861,trip completed order,Fleet_Operator_India,FOC,2025-04-18 05:49:10,-10.94,219.0,-229.94,219.0,0,195.2,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
